item_id,name,value
213,Type,Uitgangspunt
213,Level,Tactisch Niveau
213,Source,Groenvisie Nieuw-West (2012)
214,Theme,12. Groen
214,Area,Nieuw-West
214,Type,Uitgangspunt
214,Level,Tactisch Niveau
214,Source,Groenvisie Nieuw-West (2012)
215,Theme,12. Groen
215,Area,Heel Amsterdam
215,Type,Randvoorwaarde
215,Level,Strategisch Niveau
215,Source,Ecologische Visie (2012)
216,Theme,12. Groen
216,Area,Nieuw-West
216,Type,Uitgangspunt
216,Level,Tactisch Niveau
216,Source,De Bomentaal Van Slotervaart (2009)
217,Theme,12. Groen
217,Area,Nieuw-West
217,Type,Uitgangspunt
217,Level,Operationeel Niveau
217,Source,De Bomentaal Van Slotervaart (2009)
218,Theme,12. Groen
218,Area,Nieuw-West
218,Type,Uitgangspunt
218,Level,Operationeel Niveau
218,Source,De Bomentaal Van Slotervaart (2009)
219,Theme,12. Groen
219,Area,Nieuw-West
219,Type,Uitgangspunt
219,Level,Operationeel Niveau
219,Source,De Bomentaal Van Slotervaart (2009)
220,Theme,12. Groen
220,Area,Nieuw-West
220,Type,Uitgangspunt
220,Level,Operationeel Niveau
220,Source,De Bomentaal Van Slotervaart (2009)
221,Theme,12. Groen
221,Area,Nieuw-West
221,Type,Uitgangspunt
221,Level,Operationeel Niveau
221,Source,De Bomentaal Van Slotervaart (2009)
222,Theme,12. Groen
222,Area,Nieuw-West
222,Type,Uitgangspunt
222,Level,Operationeel Niveau
222,Source,De Bomentaal Van Slotervaart (2009)
223,Theme,12. Groen
223,Area,Nieuw-West
223,Type,Uitgangspunt
223,Level,Operationeel Niveau
223,Source,De Bomentaal Van Slotervaart (2009)
224,Theme,12. Groen
224,Area,Nieuw-West
224,Type,Uitgangspunt
224,Level,Operationeel Niveau
224,Source,De Bomentaal Van Slotervaart (2009)
225,Theme,12. Groen
225,Area,Nieuw-West
225,Type,Uitgangspunt
225,Level,Operationeel Niveau
225,Source,De Bomentaal Van Slotervaart (2009)
226,Theme,12. Groen
226,Area,Nieuw-West
226,Type,Uitgangspunt
226,Level,Operationeel Niveau
226,Source,De Bomentaal Van Slotervaart (2009)
227,Theme,12. Groen
227,Area,Nieuw-West
227,Type,Uitgangspunt
227,Level,Operationeel Niveau
227,Source,De Bomentaal Van Slotervaart (2009)
228,Theme,12. Groen
228,Area,Nieuw-West
228,Type,Uitgangspunt
228,Level,Operationeel Niveau
228,Source,De Bomentaal Van Slotervaart (2009)
229,Theme,12. Groen
229,Area,Nieuw-West
229,Type,Uitgangspunt
229,Level,Operationeel Niveau
229,Source,De Bomentaal Van Slotervaart (2009)
230,Theme,12. Groen
230,Area,Nieuw-West
230,Type,Uitgangspunt
230,Level,Operationeel Niveau
230,Source,De Bomentaal Van Slotervaart (2009)
231,Theme,12. Groen
231,Area,Nieuw-West
231,Type,Uitgangspunt
231,Level,Operationeel Niveau
231,Source,De Bomentaal Van Slotervaart (2009)
232,Theme,12. Groen
232,Area,Nieuw-West
232,Type,Uitgangspunt
232,Level,Strategisch Niveau
232,Source,De Bomentaal Van Slotervaart (2009)
233,Theme,13. Sport & Spel
233,Theme,3. Netwerken & Profielen
233,Area,Heel Amsterdam
233,Type,Ambitie
233,Level,Strategisch Niveau
233,Source,"De Bewegende Stad, De Amsterdamse Beweeglogica (2016)"
234,Theme,4. Voetganger
234,Area,Heel Amsterdam
234,Type,Ambitie
234,Level,Tactisch Niveau
234,Source,"De Bewegende Stad, De Amsterdamse Beweeglogica (2016)"
235,Theme,13. Sport & Spel
235,Area,Heel Amsterdam
235,Type,Uitgangspunt
235,Level,Tactisch Niveau
235,Source,"De Bewegende Stad, De Amsterdamse Beweeglogica (2016)"
236,Theme,13. Sport & Spel
236,Theme,10. Straatmeubilair
236,Theme,12. Groen
236,Area,Heel Amsterdam
236,Type,Ambitie
236,Level,Tactisch Niveau
236,Source,"De Bewegende Stad, De Amsterdamse Beweeglogica (2016)"
237,Theme,14. Water & Oevers
237,Theme,13. Sport & Spel
237,Area,Heel Amsterdam
237,Type,Ambitie
237,Level,Tactisch Niveau
237,Source,"De Bewegende Stad, De Amsterdamse Beweeglogica (2016)"
238,Theme,12. Groen
238,Area,Heel Amsterdam
238,Type,Ambitie
238,Level,Tactisch Niveau
238,Source,"De Bewegende Stad, De Amsterdamse Beweeglogica (2016)"
239,Theme,6. Openbaar Vervoer
239,Area,Heel Amsterdam
